division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
37,Peter,Larsson,pelar,SWE,Pistol Caliber Carbine,23.61,38.74,17.97,-15.17,8,38.52
38,Stilianos ”Stellan”,Simeonidis,odysseus,SWE,Pistol Caliber Carbine,23.45,43.55,23.88,-28.1,3,38.25
39,Stilianos,Simeonidis,odysseus,SWE,Pistol Caliber Carbine,22.79,43.75,24.9,-30.95,4,37.18
40,Victor,Lloyd,lloyd,SWE,Pistol Caliber Carbine,22.67,36.92,16.93,-13.87,10,36.99
41,Mikael,Sandberg,,SWE,Pistol Caliber Carbine,22.05,37.98,18.93,-18.82,6,35.97
42,Robin,Larsson,,SWE,Pistol Caliber Carbine,21.87,43.44,25.62,-33.43,2,35.68
43,Rickard,Eriksson,mrmeeseeks,SWE,Pistol Caliber Carbine,21.66,41.28,23.32,-28.68,4,35.33
44,Henrik,Hjelte,cetre,SWE,Pistol Caliber Carbine,21.31,34.43,15.58,-12.32,10,34.77
45,Fredrik,Ferdinandsson,ferdi76,SWE,Pistol Caliber Carbine,21.11,34.32,15.7,-12.77,10,34.43
46,Johan,Nilsson,nilsson1911,SWE,Pistol Caliber Carbine,20.48,29.93,11.23,-3.75,22,33.41
47,Stefan,Eriksson,ster,SWE,Pistol Caliber Carbine,20.47,29.82,11.1,-3.49,22,33.4
48,Christoffer,Lindfors,stalken,SWE,Pistol Caliber Carbine,19.91,37.47,20.87,-25.13,5,32.47
49,Oscar,Holstrup,ohp,SWE,Pistol Caliber Carbine,19.7,32.39,15.09,-12.87,9,32.13
50,Jonas,Wallgren,junbao,SWE,Pistol Caliber Carbine,19.39,37.02,20.95,-25.82,5,31.64
51,Jimmie,Adlersson,jimadl,SWE,Pistol Caliber Carbine,19.33,33.13,16.4,-16.06,8,31.53
52,Marcus,Lindström,marcus,SWE,Pistol Caliber Carbine,18.61,28.78,12.08,-7.47,14,30.36
53,Christer,Karlsson,nsslt,SWE,Pistol Caliber Carbine,18.49,32.86,17.07,-18.34,8,30.17
54,Daniel,Freij,fr3ij,SWE,Pistol Caliber Carbine,18.48,33.91,18.33,-21.07,9,30.15
55,Björn,Svensson,ursus,SWE,Pistol Caliber Carbine,18.21,31.42,15.69,-15.66,10,29.71
56,Luigi,de Barone,2alfa,SWE,Pistol Caliber Carbine,17.82,28.48,12.67,-9.52,14,29.07
