division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
797,Rasul,Duz,,SWE,Standard,3.89,24.12,24.04,-48.0,5,8.51
798,Lars,Eriksson,stiltman,SWE,Standard,3.89,24.25,24.2,-48.35,4,8.51
799,Terés,Gustafsson,,SWE,Standard,3.88,19.12,18.1,-35.19,10,8.5
800,Mikael,Hanström,ljustern,SWE,Standard,3.86,23.7,23.57,-47.01,4,8.46
801,Jens,Modén,onkel75,SWE,Standard,3.86,23.23,23.02,-45.82,6,8.45
802,Stefan,Westholm,west,SWE,Standard,3.85,24.99,25.12,-50.36,2,8.43
803,Thomas,Holm,,SWE,Standard,3.84,24.81,24.92,-49.94,3,8.4
804,Daniel,Liljeström,danlil,SWE,Standard,3.83,24.71,24.81,-49.71,3,8.39
805,Niclas,Johansson,,SWE,Standard,3.81,24.49,24.57,-49.23,4,8.33
806,Fredrik,Holmström,webley38,SWE,Standard,3.8,23.07,22.89,-45.6,6,8.32
807,Carl,Astner,thedoc,SWE,Standard,3.8,24.73,24.87,-49.88,3,8.31
808,Tommy,Mattsson,digglers,SWE,Standard,3.79,26.24,26.66,-53.76,2,8.31
809,Jonny,Nelson,,SWE,Standard,3.78,25.64,25.97,-52.29,3,8.27
810,Magnus,Göransson,,SWE,Standard,3.76,24.08,24.14,-48.34,4,8.24
811,Ulf C.,Afvander,ironhead,SWE,Standard,3.75,21.82,21.47,-42.59,7,8.22
812,Lars-Erik,Söderén,korn64,SWE,Standard,3.75,24.18,24.27,-48.64,7,8.21
813,Thomas,Eldenek,tel,SWE,Standard,3.74,23.84,23.88,-47.8,6,8.2
814,Jacob,Lind,mrlind,SWE,Standard,3.74,24.24,24.35,-48.81,3,8.2
815,Claes,Kjellin,ckm,SWE,Standard,3.74,21.51,21.1,-41.81,7,8.2
816,Daniel,Larsson,swedan,SWE,Standard,3.74,21.27,20.84,-41.24,9,8.18
817,Peter,Hakestam,resistent,SWE,Standard,3.71,24.22,24.37,-48.89,7,8.12
818,Antonio,Stadigh,antis,SWE,Standard,3.71,24.77,25.02,-50.3,4,8.12
819,jimmy,heidenbeck,,SWE,Standard,3.7,22.49,22.33,-44.49,7,8.1
820,Fredrik,Funseth,funtan,SWE,Standard,3.69,24.48,24.7,-49.61,3,8.08
821,Johan,Urbanke,,SWE,Standard,3.69,24.12,24.28,-48.71,3,8.08
822,Madelen,Berg,madly,SWE,Standard,3.69,24.66,24.91,-50.07,4,8.08
823,Mathias,Kunto,matkun,SWE,Standard,3.68,24.74,25.02,-50.34,5,8.05
824,Kalle,Halvarsson,adhd,SWE,Standard,3.67,26.2,26.78,-54.13,1,8.03
825,Daniel,Nordström,nordstrom,SWE,Standard,3.67,23.75,23.86,-47.84,4,8.02
826,Alexander,Stankovic,sasa,SWE,Standard,3.66,24.7,25.0,-50.29,3,8.02
827,Mikael,Persson,mikee,SWE,Standard,3.65,23.06,23.06,-46.13,6,7.99
828,Lasse,Lundqvist,lunkan,SWE,Standard,3.65,16.82,15.65,-30.13,20,7.98
829,Mathias,Adolfsson,,SWE,Standard,3.64,24.23,24.45,-49.13,3,7.98
830,Mattias,Karlsson,327karlsson,SWE,Standard,3.64,22.94,22.93,-45.84,5,7.98
831,Oscar,Hedin,,SWE,Standard,3.64,24.96,25.34,-51.04,4,7.97
832,STEPHEN,NotKnown,45acp,SWE,Standard,3.62,24.59,24.91,-50.16,4,7.92
833,Marcus,Stenöien,grandpower,SWE,Standard,3.61,24.3,24.58,-49.44,3,7.91
834,Daniel,Ramnefors,,SWE,Standard,3.58,24.24,24.55,-49.41,3,7.84
835,Erik,Bjalkvall,3gunner,SWE,Standard,3.58,26.46,27.19,-55.11,1,7.83
836,Stefan,Bengtsson,stiffe,SWE,Standard,3.56,23.25,23.39,-46.92,3,7.8
837,Mattias,Johannesdal,mmj,SWE,Standard,3.53,26.0,26.7,-54.1,2,7.73
838,Mikael,Jonsson,,SWE,Standard,3.53,24.52,24.94,-50.3,3,7.72
839,Hans,Nordin,,SWE,Standard,3.52,25.19,25.74,-52.04,4,7.72
840,Christoffer,Horsvik,,SWE,Standard,3.52,22.4,22.43,-44.9,9,7.7
841,Josef,Dahlström,10062,SWE,Standard,3.51,23.93,24.26,-48.86,3,7.68
842,Marcus,Hoffman,hoffis,SWE,Standard,3.5,24.15,24.54,-49.47,3,7.66
843,Wille,Bäckström,,SWE,Standard,3.49,24.57,25.05,-50.57,3,7.64
844,Magnus,Wallberg,mwalle193112,SWE,Standard,3.49,25.76,26.46,-53.61,2,7.64
845,Marcus,Lindström,marcus,SWE,Standard,3.48,24.78,25.31,-51.15,3,7.62
846,Ronnie,Mörth,,SWE,Standard,3.47,23.84,24.21,-48.78,4,7.59
847,Björn,Videnberg,,SWE,Standard,3.47,23.38,23.66,-47.6,4,7.59
848,Eric Johan,Fredriksson,fredriksson,SWE,Standard,3.47,25.18,25.79,-52.21,2,7.59
