division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
295,Fredrik,Dahlgren,fdahlgren,SWE,Classic,-4.41,19.79,28.76,-66.49,2,-14.93
296,Anders,Svensson,svempa,SWE,Classic,-4.48,25.0,35.03,-80.08,1,-15.16
297,Tina,Oskarsson,xena,SWE,Classic,-4.48,24.93,34.95,-79.91,1,-15.16
298,Anders,Sandberg,welder,SWE,Classic,-4.49,24.35,34.27,-78.46,1,-15.19
299,Toni,Kaic,kaic,SWE,Classic,-4.53,16.36,24.81,-58.09,5,-15.31
300,Daniel,Tillström,climber,SWE,Classic,-4.58,25.74,36.02,-82.33,2,-15.48
301,Thomas,Gärdh,,SWE,Classic,-4.76,17.67,26.65,-62.29,2,-16.11
302,Mikael,Löfgren,mikeysp01,SWE,Classic,-4.82,17.67,26.73,-62.52,2,-16.31
303,Anders,Ottosson,,SWE,Classic,-4.85,20.35,29.94,-69.48,2,-16.39
304,Richard,Fylking,,SWE,Classic,-4.93,23.54,33.82,-77.93,2,-16.66
305,Anders,Lundqvist,lunkan,SWE,Classic,-5.07,21.51,31.58,-73.24,1,-17.14
306,Bobby,Jansson,,SWE,Classic,-5.22,25.0,35.91,-82.72,1,-17.65
307,Kim,Dagerud,,SWE,Classic,-5.61,16.85,26.69,-63.23,2,-18.99
308,Johan,Fjordgren,fjordgren,SWE,Classic,-5.85,16.3,26.32,-62.67,2,-19.79
309,Jonas,Aronsson,,SWE,Classic,-6.1,16.88,27.31,-65.04,3,-20.63
310,Isak,Essebro,essebro,SWE,Classic,-6.27,15.73,26.15,-62.71,2,-21.22
311,Sarah,Grey,sgirl1971,SWE,Classic,-6.78,14.77,25.61,-62.06,5,-22.93
312,Fredrik,Johansson,,SWE,Classic,-7.02,16.72,28.2,-67.89,1,-23.73
313,Jorgen,Andersson,jojje,SWE,Classic,-7.08,25.0,38.12,-89.36,1,-23.95
314,micke,wessman,bigflash,SWE,Classic,-7.1,24.97,38.11,-89.35,1,-24.02
315,Alain,Elawad,,SWE,Classic,-7.19,11.78,22.54,-55.84,5,-24.33
316,Martin,Aronsson,aronsson,SWE,Classic,-7.33,15.43,27.04,-65.68,2,-24.78
317,Mathias,Karlsson,messias,SWE,Classic,-7.6,11.42,22.6,-56.38,6,-25.7
318,Fredric,Andreasson,5106,SWE,Classic,-7.8,18.07,30.74,-74.15,1,-26.38
319,Daniel,Lövqvist,,SWE,Classic,-7.85,14.59,26.66,-65.4,5,-26.55
320,Mats,Wiman,wiman,SWE,Classic,-8.08,17.9,30.87,-74.71,1,-27.33
321,Philip,Volmgren,,SWE,Classic,-9.45,14.43,28.37,-70.67,1,-31.95
322,Kent,Rehn,,SWE,Classic,-9.5,18.52,33.3,-81.37,1,-32.15
323,Jimmy,Johnsson,jdt,SWE,Classic,-9.67,13.28,27.28,-68.55,2,-32.72
324,Erik,Malmqvist,eke,SWE,Classic,-10.27,9.9,23.97,-61.99,5,-34.73
325,Sverker,Ulving,sverker,SWE,Classic,-10.75,13.11,28.35,-71.94,3,-36.37
326,Jens,Lindholm,luckyduck,SWE,Classic,-10.85,13.02,28.36,-72.05,1,-36.69
327,Mats,Borgström,,SWE,Classic,-11.11,13.29,28.98,-73.67,2,-37.56
328,Christoffer,Hermansson,blastn01,SWE,Classic,-11.71,11.42,27.48,-71.02,3,-39.6
329,Marcus,Sehlstedt,,SWE,Classic,-12.58,13.72,31.25,-80.04,1,-42.55
330,Örjan,Tollbom,oldiebutgoldie,SWE,Classic,-12.97,15.47,33.78,-85.89,2,-43.86
331,Christoffer,Åström,,SWE,Classic,-14.03,7.79,25.93,-69.99,4,-47.45
