division_rank,first_name,last_name,alias,region,division,conservative_rating,mu,sigma,ordinal,matches_played,percentage_of_best
4197,Fredrik,Carlsson,,SWE,Production,-4.79,20.5,30.04,-69.63,1,-8.11
4198,Daniel,Lindau,,SWE,Production,-4.82,21.38,31.13,-72.02,1,-8.16
4199,Patrik,Wiking,,SWE,Production,-4.85,19.01,28.35,-66.03,2,-8.21
4200,Peter,Taari,,SWE,Production,-4.85,17.16,26.15,-61.29,2,-8.22
4201,Lars,Eriksson,,SWE,Production,-4.9,15.99,24.82,-58.47,6,-8.3
4202,Mikael,Carlander,mikael,SWE,Production,-4.91,25.16,35.73,-82.03,1,-8.31
4203,Stefan,Folke,,SWE,Production,-4.93,24.06,34.44,-79.26,1,-8.34
4204,Jan,Olofsson,,SWE,Production,-4.93,23.11,33.32,-76.84,1,-8.35
4205,Roberto,Poggi,robban,SWE,Production,-4.93,24.01,34.39,-79.16,2,-8.35
4206,Lisa,Tuominen,,SWE,Production,-4.94,18.81,28.22,-65.84,2,-8.36
4207,Jon,Svensson,,SWE,Production,-4.95,14.15,22.7,-53.94,6,-8.38
4208,Malik,H,,SWE,Production,-4.99,18.67,28.11,-65.67,1,-8.45
4209,Patrik,Johansson,patrikjohansson,SWE,Production,-5.0,12.47,20.75,-49.79,9,-8.47
4210,Fredrik,Hultman,hult83,SWE,Production,-5.0,21.07,30.98,-71.87,1,-8.47
4211,Johan,Torslén,torslen,SWE,Production,-5.0,15.27,24.09,-57.0,4,-8.47
4212,Sören,Blomberg,,SWE,Production,-5.02,24.97,35.64,-81.94,1,-8.5
4213,Tobias,Hallqvist,,SWE,Production,-5.03,16.71,25.83,-60.79,4,-8.52
4214,Nicklas,Jönsson,,SWE,Production,-5.09,17.29,26.59,-62.48,2,-8.61
4215,Gustav,Sandström,,SWE,Production,-5.11,17.17,26.48,-62.26,2,-8.65
4216,Jacob,S,ipa,SWE,Production,-5.12,22.76,33.12,-76.61,1,-8.66
4217,Sara,Börjesson,,SWE,Production,-5.13,18.6,28.19,-65.98,1,-8.69
4218,Anders,Svensson,svempa,SWE,Production,-5.14,25.01,35.83,-82.48,1,-8.71
